game_id,season,week,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds
2014_01_SD_ARI,2014,1,0.5386145114898682,ARI,ARI,LAC,"(12:31) 2-D.Butler punts 55 yards to SD 10, Center-82-M.Leach. 11-E.Royal pushed ob at SD 22 for 12 yards (36-D.Bucannon).",PUNT,-3.279899431190728,0,0,65,10,1,12,31
2014_01_SD_ARI,2014,1,0.5505613684654236,ARI,ARI,LAC,"(1:51) 2-D.Butler punts 53 yards to end zone, Center-82-M.Leach, Touchback.",PUNT,-2.144497228660235,0,0,53,10,1,1,51
2014_01_SD_ARI,2014,1,0.6305805444717407,ARI,ARI,LAC,"(12:47) 7-C.Catanzaro 22 yard field goal is GOOD, Center-82-M.Leach, Holder-9-D.Zastudil.",FIELD_GOAL,0.05701812546845986,0,1,4,3,2,12,47
2014_01_SD_ARI,2014,1,0.6725967526435852,ARI,ARI,LAC,"(7:29) 2-D.Butler punt is BLOCKED by 97-J.Attaochu, Center-82-M.Leach, ball out of bounds at ARI 17.",PUNT,2.0797549195128298,0,1,60,3,2,7,29
2014_01_SD_ARI,2014,1,0.5207675099372864,ARI,ARI,LAC,"(3:30) 2-D.Butler punts 61 yards to end zone, Center-82-M.Leach, Touchback.",PUNT,0.3379364270882874,0,1,61,1,2,3,30
2014_01_SD_ARI,2014,1,0.1548304259777069,ARI,ARI,LAC,"(3:54) 2-D.Butler punts 49 yards to SD 30, Center-82-M.Leach. 11-E.Royal to SD 35 for 5 yards (28-J.Bethel).",PUNT,1.111694968463242,0,1,79,9,3,3,54
2014_02_ARI_NYG,2014,2,0.6938220262527466,ARI,NYG,ARI,"(1:36) 7-C.Catanzaro 49 yard field goal is GOOD, Center-82-M.Leach, Holder-2-D.Butler.",FIELD_GOAL,1.0803965637743431,0,1,31,6,1,1,36
2014_02_ARI_NYG,2014,2,0.7629770636558533,ARI,NYG,ARI,"(7:58) 2-D.Butler punts 39 yards to NYG 10, Center-82-M.Leach, fair catch by 83-P.Parker.",PUNT,2.7741572657923257,0,1,49,1,2,7,58
2014_02_ARI_NYG,2014,2,0.5971199870109558,ARI,NYG,ARI,"(11:57) 2-D.Butler punts 27 yards to NYG 28, Center-82-M.Leach, downed by ARI-82-M.Leach. Ball deflected by NYG-#23 R.Jennings. PENALTY on NYG-35-Q.Demps, Illegal Use of Hands, 10 yards, enforced at NYG 28.",PUNT,-4.8636704091452145,0,0,55,9,3,11,57
2014_02_ARI_NYG,2014,2,0.5567853450775146,ARI,NYG,ARI,"(6:54) 2-D.Butler punts 51 yards to NYG 28, Center-82-M.Leach. 83-P.Parker to NYG 26 for -2 yards (87-T.Niklas).",PUNT,-7.6919339121363635,0,0,79,9,3,6,54
