game_id,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds,week
2015_08_SEA_DAL,0.7485945820808411,SEA,DAL,SEA,"(1:10) (Field Goal formation) 4-S.Hauschka 24 yard field goal is GOOD, Center-49-C.Gresham, Holder-9-J.Ryan.",FIELD_GOAL,-41.529794430501425,0,0,6,6,4,1,10,8
2015_10_NE_NYG,0.6114121675491333,NYG,NYG,NE,"(1:50) 3-J.Brown 29 yard field goal is GOOD, Center-51-Z.DeOssie, Holder-9-B.Wing.",FIELD_GOAL,-22.712390029905897,0,0,11,11,4,1,50,10
2015_14_BUF_PHI,0.7580792903900146,PHI,PHI,BUF,"(2:00) 8-D.Jones punts 57 yards to BUF 18, Center-46-J.Dorenbos. 11-M.Thigpen ran ob at BUF 31 for 13 yards (14-R.Cooper).",PUNT,-19.669405882834248,0,0,75,21,4,2,0,14
2015_15_NYJ_DAL,0.8906116485595703,NYJ,DAL,NYJ,"(:41) (Field Goal formation) 8-R.Bullock 40 yard field goal is GOOD, Center-46-T.Purdum, Holder-4-R.Quigley.",FIELD_GOAL,-17.821728730963684,0,0,22,6,4,0,41,15
2015_12_BAL_CLE,0.4087813198566437,CLE,CLE,BAL,"(1:06) (Punt formation) 8-A.Lee punts 48 yards to BAL 23, Center-47-C.Hughlett. 81-K.Clay to BAL 38 for 15 yards (24-J.Bademosi).",PUNT,-17.70490020159384,0,0,71,18,4,1,6,12
2015_09_STL_MIN,0.8272672891616821,MIN,MIN,LA,"(1:27) (Punt formation) 18-J.Locke punts 41 yards to STL 31, Center-47-K.McDermott. 11-T.Austin to STL 39 for 8 yards (51-E.Robinson).",PUNT,-17.37827988202249,0,0,72,20,4,1,27,9
2015_06_CAR_SEA,0.7205004692077637,SEA,SEA,CAR,"(2:29) (Punt formation) PENALTY on CAR-24-J.Norman, Defensive Delay of Game, 5 yards, enforced at SEA 27 - No Play.",PENALTY,-16.987389866105786,0,0,73,23,4,2,29,6
2015_17_DET_CHI,0.6682081818580627,DET,CHI,DET,"(3:42) (Punt formation) 6-S.Martin punts 45 yards to CHI 43, Center-48-D.Muhlbach, fair catch by 80-M.Mariani.",PUNT,-16.854110419048354,0,0,88,13,4,3,42,17
2015_14_MIN_ARI,0.7584391832351685,ARI,ARI,MIN,"(1:28) 7-C.Catanzaro 47 yard field goal is GOOD, Center-82-M.Leach, Holder-2-D.Butler.",FIELD_GOAL,-16.177483200468693,0,0,29,16,4,1,28,14
2015_06_DEN_CLE,0.6730494499206543,DEN,CLE,DEN,"(4:58) (Punt formation) 4-B.Colquitt punts 35 yards to CLE 40, Center-46-A.Brewer, out of bounds.",PUNT,-15.8492638940198,0,0,75,15,4,4,58,6
2015_10_MIA_PHI,0.4832598567008972,MIA,PHI,MIA,"(1:51) 4-M.Darr punts 51 yards to PHI 19, Center-92-J.Denney. 43-D.Sproles to PHI 29 for 10 yards (92-J.Denney).",PUNT,-15.59938400944597,0,0,70,17,4,1,51,10
2015_05_BUF_TEN,0.5482104420661926,BUF,TEN,BUF,"(1:51) (Punt formation) 6-C.Schmidt punts 46 yards to TEN 22, Center-65-G.Sanborn. 22-D.McCluster to TEN 31 for 9 yards (20-C.Graham).",PUNT,-15.577114979606357,0,0,68,14,4,1,51,5
2015_12_NE_DEN,0.7046118378639221,NE,DEN,NE,"(4:48) 6-R.Allen punts 50 yards to DEN 35, Center-49-J.Cardona. 10-E.Sanders to DEN 37 for 2 yards (36-B.King).",PUNT,-14.910489952329236,0,0,85,15,4,4,48,12
