game_id,play_id,season,week,prior_wp,url,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds
2020_01_ARI_SF,405,2020,1,0.2132674902677536,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=10&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=65&secs=17&score_diff=-3&home=%22SF%22&ydstogo=10&runoff=0,ARI,SF,ARI,"(10:17) 4-A.Lee punts 53 yards to SF 12, Center-46-A.Brewer. 15-T.Taylor to SF 24 for 12 yards (45-D.Gardeck; 28-C.Washington).",PUNT,-2.2324118618259945,0,0,65,10,1,10,17
2020_01_ARI_SF,569,2020,1,0.12624689936637878,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=8&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=72&secs=39&score_diff=-10&home=%22SF%22&ydstogo=7&runoff=0,ARI,SF,ARI,"(8:39) 4-A.Lee punts 50 yards to SF 22, Center-46-A.Brewer. 15-T.Taylor ran ob at SF 31 for 9 yards (51-T.Vallejo).",PUNT,-0.022510780220686755,0,0,72,7,1,8,39
2020_01_ARI_SF,986,2020,1,0.20856720209121704,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=4&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=77&secs=11&score_diff=-3&home=%22SF%22&ydstogo=9&runoff=0,ARI,SF,ARI,"(4:11) 4-A.Lee punts 47 yards to SF 30, Center-46-A.Brewer. 18-D.Pettis to SF 38 for 8 yards (47-E.Turner).",PUNT,-0.5855691096521412,0,0,77,9,1,4,11
2020_01_ARI_SF,1610,2020,1,0.28592348098754883,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=7&update=0&defteam_to=%222%22&qtr=%222%22&season=%222020%22&away=%22ARI%22&yardline=34&secs=33&score_diff=-3&home=%22SF%22&ydstogo=5&runoff=0,ARI,SF,ARI,"(7:33) 5-Z.Gonzalez 52 yard field goal is No Good, Wide Right, Center-46-A.Brewer, Holder-4-A.Lee.",FIELD_GOAL,2.503515914062607,0,1,34,5,2,7,33
2020_01_ARI_SF,2272,2020,1,0.22823798656463623,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%220%22&posteam=%22ARI%22&home_ko=%221%22&mins=0&update=0&defteam_to=%222%22&qtr=%222%22&season=%222020%22&away=%22ARI%22&yardline=38&secs=2&score_diff=-6&home=%22SF%22&ydstogo=5&runoff=0,ARI,SF,ARI,"(:02) 5-Z.Gonzalez 56 yard field goal is GOOD, Center-46-A.Brewer, Holder-4-A.Lee.",FIELD_GOAL,-0.8151002539059071,0,0,38,5,2,0,2
2020_01_ARI_SF,2672,2020,1,0.2744082510471344,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=9&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22ARI%22&yardline=31&secs=54&score_diff=-3&home=%22SF%22&ydstogo=10&runoff=0,ARI,SF,ARI,"(9:54) 5-Z.Gonzalez 49 yard field goal is No Good, Wide Right, Center-46-A.Brewer, Holder-4-A.Lee.",FIELD_GOAL,-1.806844400050938,0,0,31,10,3,9,54
2020_01_ARI_SF,2935,2020,1,0.24866710603237152,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%221%22&mins=5&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22ARI%22&yardline=48&secs=51&score_diff=-3&home=%22SF%22&ydstogo=6&runoff=0,ARI,SF,ARI,"(5:51) 4-A.Lee punts 41 yards to SF 7, Center-46-A.Brewer, downed by ARI-16-T.Sherfield.",PUNT,0.4880333334936786,0,1,48,6,3,5,51
2020_02_WAS_ARI,875,2020,2,0.8679738640785217,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=3&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22WAS%22&yardline=85&secs=0&score_diff=7&home=%22ARI%22&ydstogo=7&runoff=0,ARI,ARI,WAS,"(3:00) 4-A.Lee punts 57 yards to WAS 28, Center-46-A.Brewer. 15-S.Sims to WAS 40 for 12 yards (81-D.Daniels). FUMBLES (81-D.Daniels), RECOVERED by ARI-46-A.Brewer at WAS 40. 46-A.Brewer to WAS 40 for no gain (25-F.Moreau).",PUNT,-1.2328373407330702,0,0,85,7,1,3,0
2020_02_WAS_ARI,1334,2020,2,0.9543853402137756,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=11&update=0&defteam_to=%223%22&qtr=%222%22&season=%222020%22&away=%22WAS%22&yardline=31&secs=35&score_diff=14&home=%22ARI%22&ydstogo=18&runoff=0,ARI,ARI,WAS,"(11:35) 5-Z.Gonzalez 49 yard field goal is GOOD, Center-46-A.Brewer, Holder-4-A.Lee.",FIELD_GOAL,-0.6701118715109828,0,0,31,18,2,11,35
2020_02_WAS_ARI,1918,2020,2,0.9817127585411072,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=1&update=0&defteam_to=%222%22&qtr=%222%22&season=%222020%22&away=%22WAS%22&yardline=15&secs=53&score_diff=17&home=%22ARI%22&ydstogo=10&runoff=0,ARI,ARI,WAS,"(1:53) 5-Z.Gonzalez 33 yard field goal is GOOD, Center-46-A.Brewer, Holder-4-A.Lee.",FIELD_GOAL,-1.0798959849853844,0,0,15,10,2,1,53
